country,continent,date,age,total_cases,deaths,recoveries
Turkey,Asia,2020-01-21 22:34:30.180120080,37,26632.0,37592.0,889708.0
Canada,North America,2020-01-22 10:15:46.230820547,31,1607543.0,46339.0,1507486.0
South Africa,Africa,2020-01-22 21:57:02.281521014,44,1439522.0,35428.0,1573312.0
India,Asia,2020-01-23 09:38:18.332221481,78,889775.0,27419.0,236892.0
Argentina,South America,2020-01-23 21:19:34.382921948,78,932176.0,10573.0,1057192.0
Japan,Asia,2020-01-24 09:00:50.433622415,45,1078187.0,29759.0,1669463.0
France,Europe,2020-01-24 20:42:06.484322881,40,711490.0,17195.0,259643.0
Argentina,South America,2020-01-25 08:23:22.535023348,70,1259863.0,29931.0,517741.0
Saudi Arabia,Asia,2020-01-25 20:04:38.585723815,74,435876.0,37691.0,1705240.0
Russia,Europe,2020-01-26 07:45:54.636424282,45,1911047.0,40390.0,507021.0
Russia,Europe,2020-01-26 19:27:10.687124749,20,1833620.0,22296.0,207621.0
Turkey,Asia,2020-01-27 07:08:26.737825216,49,996523.0,8348.0,1145498.0
China,Asia,2020-01-27 18:49:42.788525683,22,295999.0,17446.0,1701082.0
Russia,Europe,2020-01-28 06:30:58.839226150,48,468906.0,30549.0,283039.0
Saudi Arabia,Asia,2020-01-28 18:12:14.889926617,73,579586.0,47035.0,1725929.0
Italy,Europe,2020-01-29 05:53:30.940627084,39,1661882.0,25413.0,1032107.0
Turkey,Asia,2020-01-29 17:34:46.991327551,31,1655145.0,40769.0,1446547.0
Germany,Europe,2020-01-30 05:16:03.042028018,70,-1967158.0,45667.0,1334433.0
Spain,Europe,2020-01-30 16:57:19.092728485,57,1112387.0,18325.0,17193.0
Turkey,Asia,2020-01-31 04:38:35.143428952,41,1394673.0,39530.0,1507983.0
Saudi Arabia,Asia,2020-01-31 16:19:51.194129419,30,1167979.0,8379.0,1062002.0
Japan,Asia,2020-02-01 04:01:07.244829886,32,772950.0,,693608.0
Spain,Europe,2020-02-01 15:42:23.295530353,73,1407031.0,30998.0,672602.0
USA,North America,2020-02-02 03:23:39.346230820,27,1423012.0,30394.0,791962.0
USA,North America,2020-02-02 15:04:55.396931287,31,1911609.0,9859.0,983370.0
Indonesia,Asia,2020-02-03 02:46:11.447631754,60,980927.0,44017.0,460837.0
France,Europe,2020-02-03 14:27:27.498332221,49,325053.0,36373.0,206382.0
Japan,Asia,2020-02-04 02:08:43.549032688,29,162396.0,3980.0,277347.0
Spain,Europe,2020-02-04 13:49:59.599733155,66,1000382.0,8588.0,269047.0
Canada,North America,2020-02-05 01:31:15.650433622,33,1479991.0,22017.0,489076.0
USA,North America,2020-02-05 13:12:31.701134089,37,466386.0,42664.0,1002098.0
Turkey,Asia,2020-02-06 00:53:47.751834556,30,1553635.0,41512.0,774408.0
Canada,North America,2020-02-06 12:35:03.802535023,79,1223179.0,10443.0,833832.0
UK,Europe,2020-02-07 00:16:19.853235490,46,274892.0,41925.0,1666532.0
Brazil,South America,2020-02-07 11:57:35.903935957,76,1815731.0,31676.0,1797067.0
Italy,Europe,2020-02-07 23:38:51.954636424,54,45527.0,27606.0,51436.0
Canada,North America,2020-02-08 11:20:08.005336891,78,515161.0,,739483.0
Mexico,North America,2020-02-08 23:01:24.056037358,69,,26711.0,742350.0
Argentina,South America,2020-02-09 10:42:40.106737825,52,756437.0,24151.0,1575129.0
South Korea,Asia,2020-02-09 22:23:56.157438292,78,124091.0,23767.0,1505405.0
India,Asia,2020-02-10 10:05:12.208138759,33,1456901.0,27461.0,345219.0
Brazil,South America,2020-02-10 21:46:28.258839226,75,1502569.0,42943.0,272784.0
India,Asia,2020-02-11 09:27:44.309539693,67,740958.0,38590.0,1070152.0
South Africa,Africa,2020-02-11 21:09:00.360240160,54,420164.0,34801.0,304349.0
Japan,Asia,2020-02-12 08:50:16.410940627,73,1103062.0,6427.0,442307.0
Canada,North America,2020-02-12 20:31:32.461641094,25,1151409.0,28327.0,929830.0
Canada,North America,2020-02-13 08:12:48.512341561,33,883214.0,19131.0,1762979.0
Turkey,Asia,2020-02-13 19:54:04.563042028,35,1241593.0,41062.0,589590.0
Spain,Europe,2020-02-14 07:35:20.613742495,25,81280.0,25065.0,1075077.0
Argentina,South America,2020-02-14 19:16:36.664442962,73,159110.0,2003.0,486977.0
Brazil,South America,2020-02-15 06:57:52.715143429,60,628313.0,46098.0,1364605.0
Russia,Europe,2020-02-15 18:39:08.765843896,46,1049158.0,1098.0,140789.0
Spain,Europe,2020-02-16 06:20:24.816544363,25,1978407.0,37544.0,1127678.0
USA,North America,2020-02-16 18:01:40.867244830,60,152091.0,44243.0,630940.0
Canada,North America,2020-02-17 05:42:56.917945296,71,1687705.0,40018.0,686947.0
India,Asia,2020-02-17 17:24:12.968645763,22,1268585.0,36942.0,75661.0
USA,North America,2020-02-18 05:05:29.019346230,73,649982.0,29542.0,1455870.0
China,Asia,2020-02-18 16:46:45.070046697,45,1952123.0,502.0,213608.0
USA,North America,2020-02-19 04:28:01.120747164,77,1437047.0,48057.0,
Brazil,South America,2020-02-19 16:09:17.171447631,56,1398296.0,38875.0,178608.0
Japan,Asia,2020-02-20 03:50:33.222148098,36,456039.0,,1033284.0
Indonesia,Asia,2020-02-20 15:31:49.272848565,55,1599498.0,40630.0,1251699.0
Germany,Europe,2020-02-21 03:13:05.323549032,72,1512723.0,21692.0,1267217.0
Indonesia,Asia,2020-02-21 14:54:21.374249499,26,241944.0,44529.0,163292.0
South Africa,Africa,2020-02-22 02:35:37.424949966,59,1976933.0,12079.0,40474.0
Mexico,North America,2020-02-22 14:16:53.475650433,61,434436.0,28541.0,1359398.0
Spain,Europe,2020-02-23 01:58:09.526350900,31,250685.0,13370.0,975306.0
Turkey,Asia,2020-02-23 13:39:25.577051367,54,984683.0,7010.0,833424.0
UK,Europe,2020-02-24 01:20:41.627751834,75,1496532.0,32854.0,699888.0
South Korea,Asia,2020-02-24 13:01:57.678452301,76,1323303.0,41000.0,966423.0
South Korea,Asia,2020-02-25 00:43:13.729152768,34,662241.0,7587.0,180915.0
Australia,Oceania,2020-02-25 12:24:29.779853235,36,704761.0,20657.0,729779.0
Turkey,Asia,2020-02-26 00:05:45.830553702,53,1544524.0,34920.0,1765788.0
Argentina,South America,2020-02-26 11:47:01.881254169,40,809898.0,40181.0,1062701.0
Saudi Arabia,Asia,2020-02-26 23:28:17.931954636,77,1981837.0,21263.0,1401647.0
Japan,Asia,2020-02-27 11:09:33.982655103,54,1445872.0,16253.0,1540555.0
Indonesia,Asia,2020-02-27 22:50:50.033355570,25,689441.0,16610.0,531401.0
Germany,Europe,2020-02-28 10:32:06.084056037,59,1267091.0,33570.0,860531.0
South Africa,Africa,2020-02-28 22:13:22.134756504,38,863083.0,40054.0,166441.0
USA,North America,2020-02-29 09:54:38.185456971,39,484302.0,30757.0,1597782.0
Brazil,South America,2020-02-29 21:35:54.236157438,43,595111.0,42919.0,1180509.0
Turkey,Asia,2020-03-01 09:17:10.286857905,23,1456212.0,7111.0,722875.0
France,Europe,2020-03-01 20:58:26.337558372,71,1949170.0,2755.0,1193211.0
Saudi Arabia,Asia,2020-03-02 08:39:42.388258839,76,1992373.0,30044.0,1342456.0
China,Asia,2020-03-02 20:20:58.438959306,64,1940591.0,15691.0,11313.0
India,Asia,2020-03-03 08:02:14.489659773,25,1847827.0,34810.0,968304.0
Turkey,Asia,2020-03-03 19:43:30.540360240,64,1077128.0,44096.0,
China,Asia,2020-03-04 07:24:46.591060707,65,1336966.0,12672.0,1781946.0
Brazil,South America,2020-03-04 19:06:02.641761174,68,1508101.0,433.0,1707148.0
France,Europe,2020-03-05 06:47:18.692461641,40,665606.0,6797.0,851631.0
Australia,Oceania,2020-03-05 18:28:34.743162108,38,1725561.0,13274.0,1302807.0
France,Europe,2020-03-06 06:09:50.793862575,78,1596337.0,35324.0,1424292.0
India,Asia,2020-03-06 17:51:06.844563042,39,1685515.0,23023.0,436519.0
Australia,Oceania,2020-03-07 05:32:22.895263509,46,155726.0,23343.0,520016.0
South Korea,Asia,2020-03-07 17:13:38.945963976,62,467222.0,31172.0,1429318.0
South Korea,Asia,2020-03-08 04:54:54.996664443,48,896110.0,38091.0,1061162.0
Australia,Oceania,2020-03-08 16:36:11.047364910,66,1121439.0,17679.0,757995.0
Australia,Oceania,2020-03-09 04:17:27.098065377,77,124587.0,38141.0,1097726.0
Argentina,South America,2020-03-09 15:58:43.148765844,24,564157.0,9269.0,237377.0
USA,North America,2020-03-10 03:39:59.199466311,55,1478349.0,41636.0,1158305.0
Australia,Oceania,2020-03-10 15:21:15.250166778,73,330259.0,36707.0,831962.0
Australia,Oceania,2020-03-11 03:02:31.300867245,23,471006.0,5801.0,906928.0
Brazil,South America,2020-03-11 14:43:47.351567712,31,1348547.0,,1500684.0
Canada,North America,2020-03-12 02:25:03.402268179,40,329057.0,43460.0,101113.0
South Korea,Asia,2020-03-12 14:06:19.452968646,60,1220636.0,27192.0,739445.0
India,Asia,2020-03-13 01:47:35.503669113,35,1231739.0,22838.0,408054.0
Indonesia,Asia,2020-03-13 13:28:51.554369580,65,556932.0,22530.0,1033489.0
Italy,Europe,2020-03-14 01:10:07.605070046,54,1584509.0,20313.0,99496.0
Russia,Europe,2020-03-14 12:51:23.655770513,61,1368133.0,21524.0,1505127.0
South Korea,Asia,2020-03-15 00:32:39.706470980,28,1151179.0,35139.0,701607.0
Argentina,South America,2020-03-15 12:13:55.757171447,64,70711.0,46258.0,531968.0
Mexico,North America,2020-03-15 23:55:11.807871914,69,1634300.0,28287.0,1565353.0
Russia,Europe,2020-03-16 11:36:27.858572381,42,-475829.0,7153.0,1640151.0
USA,North America,2020-03-16 23:17:43.909272848,35,730263.0,20005.0,1565159.0
China,Asia,2020-03-17 10:58:59.959973315,20,1036510.0,25543.0,386174.0
Indonesia,Asia,2020-03-17 22:40:16.010673782,64,297251.0,26533.0,1331752.0
India,Asia,2020-03-18 10:21:32.061374249,37,1393553.0,5766.0,830928.0
South Africa,Africa,2020-03-18 22:02:48.112074716,66,1646828.0,46000.0,1266236.0
Canada,North America,2020-03-19 09:44:04.162775183,68,51144.0,46641.0,164030.0
China,Asia,2020-03-19 21:25:20.213475650,28,303176.0,41479.0,88686.0
Mexico,North America,2020-03-20 09:06:36.264176117,31,807638.0,23533.0,211650.0
South Korea,Asia,2020-03-20 20:47:52.314876584,46,1187608.0,11516.0,888132.0
Saudi Arabia,Asia,2020-03-21 08:29:08.365577051,26,1245906.0,4652.0,562304.0
Italy,Europe,2020-03-21 20:10:24.416277518,37,1676473.0,36456.0,1401793.0
Canada,North America,2020-03-22 07:51:40.466977985,48,499526.0,23105.0,1511604.0
Germany,Europe,2020-03-22 19:32:56.517678452,55,318594.0,28433.0,1585899.0
Spain,Europe,2020-03-23 07:14:12.568378919,21,47858.0,9472.0,1198170.0
Australia,Oceania,2020-03-23 18:55:28.619079386,59,1483917.0,32376.0,627780.0
South Africa,Africa,2020-03-24 06:36:44.669779853,67,1546253.0,42742.0,102121.0
Saudi Arabia,Asia,2020-03-24 18:18:00.720480320,45,1932139.0,3192.0,1238439.0
Canada,North America,2020-03-25 05:59:16.771180787,79,1260002.0,10444.0,1230184.0
Germany,Europe,2020-03-25 17:40:32.821881254,33,1965534.0,40300.0,650936.0
UK,Europe,2020-03-26 05:21:48.872581721,79,1653440.0,14266.0,799172.0
Spain,Europe,2020-03-26 17:03:04.923282188,37,704138.0,7524.0,681402.0
Saudi Arabia,Asia,2020-03-27 04:44:20.973982655,67,350310.0,22147.0,390719.0
Brazil,South America,2020-03-27 16:25:37.024683122,66,1822318.0,1503.0,872878.0
Saudi Arabia,Asia,2020-03-28 04:06:53.075383589,71,905570.0,39757.0,311120.0
South Africa,Africa,2020-03-28 15:48:09.126084056,53,879753.0,40427.0,287879.0
Australia,Oceania,2020-03-29 03:29:25.176784523,55,251889.0,12820.0,1658424.0
USA,North America,2020-03-29 15:10:41.227484990,34,1537228.0,44037.0,1008003.0
Australia,Oceania,2020-03-30 02:51:57.278185457,65,214793.0,41920.0,1024307.0
Japan,Asia,2020-03-30 14:33:13.328885924,62,1487457.0,,1078492.0
South Korea,Asia,2020-03-31 02:14:29.379586391,26,337605.0,2411.0,286450.0
Argentina,South America,2020-03-31 13:55:45.430286858,48,157737.0,10346.0,1547326.0
Turkey,Asia,2020-04-01 01:37:01.480987325,33,18822.0,43364.0,1392480.0
Turkey,Asia,2020-04-01 13:18:17.531687792,57,528839.0,28520.0,
Mexico,North America,2020-04-02 00:59:33.582388259,62,447085.0,16807.0,509998.0
Canada,North America,2020-04-02 12:40:49.633088726,42,816123.0,20030.0,476656.0
Canada,North America,2020-04-03 00:22:05.683789193,74,1834087.0,1253.0,1572888.0
Russia,Europe,2020-04-03 12:03:21.734489660,76,88559.0,43624.0,1791517.0
Canada,North America,2020-04-03 23:44:37.785190126,48,1694378.0,11756.0,1634118.0
Spain,Europe,2020-04-04 11:25:53.835890593,48,1703532.0,4015.0,771044.0
Japan,Asia,2020-04-04 23:07:09.886591060,68,1009606.0,46291.0,1160460.0
UK,Europe,2020-04-05 10:48:25.937291527,30,894389.0,9919.0,864146.0
France,Europe,2020-04-05 22:29:41.987991994,62,202106.0,26269.0,13873.0
Japan,Asia,2020-04-06 10:10:58.038692461,45,392684.0,49768.0,644970.0
Japan,Asia,2020-04-06 21:52:14.089392928,20,981077.0,45833.0,1448126.0
Japan,Asia,2020-04-07 09:33:30.140093395,78,388252.0,40146.0,943935.0
Argentina,South America,2020-04-07 21:14:46.190793862,59,510948.0,28794.0,177044.0
Australia,Oceania,2020-04-08 08:56:02.241494329,54,732736.0,32233.0,1346112.0
South Korea,Asia,2020-04-08 20:37:18.292194796,32,225422.0,35005.0,1165193.0
Brazil,South America,2020-04-09 08:18:34.342895263,20,811046.0,46396.0,1049788.0
South Korea,Asia,2020-04-09 19:59:50.393595730,66,1487357.0,20836.0,285240.0
India,Asia,2020-04-10 07:41:06.444296197,27,1292188.0,12158.0,686150.0
India,Asia,2020-04-10 19:22:22.494996664,21,672481.0,26668.0,936978.0
India,Asia,2020-04-11 07:03:38.545697131,50,422654.0,24525.0,657650.0
USA,North America,2020-04-11 18:44:54.596397598,37,418048.0,38167.0,1113462.0
Saudi Arabia,Asia,2020-04-12 06:26:10.647098065,56,,45028.0,473215.0
Germany,Europe,2020-04-12 18:07:26.697798532,28,968248.0,36544.0,1287149.0
France,Europe,2020-04-13 05:48:42.748498999,78,1078357.0,19530.0,1002056.0
France,Europe,2020-04-13 17:29:58.799199466,30,1051018.0,2735.0,935663.0
USA,North America,2020-04-14 05:11:14.849899933,49,533173.0,31439.0,2213.0
Russia,Europe,2020-04-14 16:52:30.900600400,79,1226199.0,42270.0,1577414.0
Spain,Europe,2020-04-15 04:33:46.951300866,39,1795424.0,25472.0,328072.0
South Africa,Africa,2020-04-15 16:15:03.002001334,78,1106503.0,19107.0,1567033.0
India,Asia,2020-04-16 03:56:19.052701800,74,1488139.0,44160.0,453333.0
Turkey,Asia,2020-04-16 15:37:35.103402268,61,145356.0,23266.0,1794931.0
Turkey,Asia,2020-04-17 03:18:51.154102734,73,1280137.0,34896.0,561865.0
Saudi Arabia,Asia,2020-04-17 15:00:07.204803202,32,714070.0,41351.0,396750.0
USA,North America,2020-04-18 02:41:23.255503668,49,394041.0,45064.0,1046499.0
France,Europe,2020-04-18 14:22:39.306204136,43,989405.0,7783.0,1185421.0
China,Asia,2020-04-19 02:03:55.356904602,39,789728.0,14128.0,617215.0
Indonesia,Asia,2020-04-19 13:45:11.407605070,51,1768257.0,47919.0,1399059.0
Brazil,South America,2020-04-20 01:26:27.458305536,20,1662840.0,16016.0,1640887.0
Spain,Europe,2020-04-20 13:07:43.509006004,28,1903536.0,32223.0,1251725.0
Brazil,South America,2020-04-21 00:48:59.559706470,76,585927.0,45561.0,871812.0
Russia,Europe,2020-04-21 12:30:15.610406938,72,1696354.0,45683.0,958590.0
France,Europe,2020-04-22 00:11:31.661107404,74,1069220.0,26038.0,1297734.0
Germany,Europe,2020-04-22 11:52:47.711807872,67,1636564.0,39330.0,653907.0
Spain,Europe,2020-04-22 23:34:03.762508338,37,128425.0,46127.0,9936.0
Argentina,South America,2020-04-23 11:15:19.813208806,28,551422.0,3417.0,298994.0
South Africa,Africa,2020-04-23 22:56:35.863909272,38,983211.0,26113.0,449446.0
Canada,North America,2020-04-24 10:37:51.914609740,55,831753.0,32407.0,152496.0
Russia,Europe,2020-04-24 22:19:07.965310206,77,209011.0,-16986.0,718071.0
Spain,Europe,2020-04-25 10:00:24.016010674,30,568817.0,26320.0,1504425.0
India,Asia,2020-04-25 21:41:40.066711140,33,502986.0,46853.0,
Saudi Arabia,Asia,2020-04-26 09:22:56.117411608,29,1717984.0,33126.0,973583.0
Germany,Europe,2020-04-26 21:04:12.168112074,71,753897.0,48948.0,160003.0
Brazil,South America,2020-04-27 08:45:28.218812542,20,341716.0,22611.0,1042358.0
UK,Europe,2020-04-27 20:26:44.269513008,78,738935.0,39288.0,1659600.0
Brazil,South America,2020-04-28 08:08:00.320213476,58,1191973.0,9603.0,933512.0
Indonesia,Asia,2020-04-28 19:49:16.370913942,60,1425600.0,30747.0,407374.0
France,Europe,2020-04-29 07:30:32.421614410,34,961022.0,42172.0,730590.0
Brazil,South America,2020-04-29 19:11:48.472314876,71,1296480.0,8836.0,1753301.0
Italy,Europe,2020-04-30 06:53:04.523015344,20,1578891.0,11246.0,1213495.0
Argentina,South America,2020-04-30 18:34:20.573715810,62,955952.0,6585.0,197333.0
Australia,Oceania,2020-05-01 06:15:36.624416278,52,1832291.0,46337.0,766920.0
Canada,North America,2020-05-01 17:56:52.675116744,67,651083.0,24001.0,1460724.0
France,Europe,2020-05-02 05:38:08.725817212,56,260803.0,19634.0,472083.0
Spain,Europe,2020-05-02 17:19:24.776517678,79,483877.0,35567.0,1789654.0
Japan,Asia,2020-05-03 05:00:40.827218146,22,1318357.0,34655.0,823890.0
USA,North America,2020-05-03 16:41:56.877918612,69,41863.0,13705.0,852966.0
Argentina,South America,2020-05-04 04:23:12.928619080,22,1710975.0,8702.0,1714388.0
South Korea,Asia,2020-05-04 16:04:28.979319546,26,983257.0,43128.0,751131.0
Australia,Oceania,2020-05-05 03:45:45.030020012,59,1002706.0,28495.0,
Turkey,Asia,2020-05-05 15:27:01.080720480,57,1098776.0,13468.0,1098665.0
South Africa,Africa,2020-05-06 03:08:17.131420946,29,629466.0,41150.0,308686.0
Australia,Oceania,2020-05-06 14:49:33.182121414,70,422903.0,5217.0,557253.0
India,Asia,2020-05-07 02:30:49.232821880,57,521784.0,44911.0,651680.0
Indonesia,Asia,2020-05-07 14:12:05.283522348,29,1799932.0,29982.0,
Russia,Europe,2020-05-08 01:53:21.334222814,59,110495.0,8360.0,1512723.0
India,Asia,2020-05-08 13:34:37.384923282,72,1799686.0,8986.0,1020304.0
Russia,Europe,2020-05-09 01:15:53.435623748,58,1136788.0,45372.0,901356.0
Brazil,South America,2020-05-09 12:57:09.486324216,75,193418.0,4667.0,912326.0
UK,Europe,2020-05-10 00:38:25.537024682,70,1451646.0,39111.0,1204500.0
Canada,North America,2020-05-10 12:19:41.587725150,48,463601.0,46017.0,1641185.0
Indonesia,Asia,2020-05-11 00:00:57.638425616,57,1847341.0,2641.0,152234.0
UK,Europe,2020-05-11 11:42:13.689126084,60,1879993.0,17678.0,1292114.0
South Africa,Africa,2020-05-11 23:23:29.739826550,41,626810.0,10893.0,667352.0
UK,Europe,2020-05-12 11:04:45.790527018,66,1605072.0,35835.0,518798.0
Turkey,Asia,2020-05-12 22:46:01.841227484,32,1849065.0,12981.0,
India,Asia,2020-05-13 10:27:17.891927952,49,1162338.0,30734.0,1215465.0
Turkey,Asia,2020-05-13 22:08:33.942628418,60,516620.0,19362.0,1342454.0
Mexico,North America,2020-05-14 09:49:49.993328886,23,1052365.0,1619.0,288390.0
China,Asia,2020-05-14 21:31:06.044029352,42,974790.0,34092.0,279874.0
Spain,Europe,2020-05-15 09:12:22.094729820,28,1172965.0,30684.0,44726.0
South Korea,Asia,2020-05-15 20:53:38.145430286,52,1798590.0,22521.0,511827.0
India,Asia,2020-05-16 08:34:54.196130754,22,789318.0,17407.0,1344844.0
Japan,Asia,2020-05-16 20:16:10.246831220,54,234938.0,10250.0,1454878.0
Argentina,South America,2020-05-17 07:57:26.297531688,52,192220.0,19727.0,963959.0
Russia,Europe,2020-05-17 19:38:42.348232154,23,496086.0,36962.0,776623.0
South Korea,Asia,2020-05-18 07:19:58.398932622,69,1197432.0,39266.0,
Mexico,North America,2020-05-18 19:01:14.449633088,49,1848153.0,35201.0,883152.0
Japan,Asia,2020-05-19 06:42:30.500333556,28,532785.0,8629.0,1458041.0
Russia,Europe,2020-05-19 18:23:46.551034022,53,657542.0,1520.0,86450.0
Turkey,Asia,2020-05-20 06:05:02.601734490,67,822778.0,21842.0,1581425.0
Indonesia,Asia,2020-05-20 17:46:18.652434956,54,1760043.0,659.0,1222833.0
Argentina,South America,2020-05-21 05:27:34.703135424,41,-714965.0,21443.0,5902.0
Saudi Arabia,Asia,2020-05-21 17:08:50.753835890,33,1409046.0,13637.0,524977.0
Russia,Europe,2020-05-22 04:50:06.804536358,61,1349796.0,33215.0,11832.0
South Africa,Africa,2020-05-22 16:31:22.855236824,64,685287.0,14457.0,206151.0
Saudi Arabia,Asia,2020-05-23 04:12:38.905937292,71,,111.0,1774300.0
Indonesia,Asia,2020-05-23 15:53:54.956637758,53,1984077.0,24077.0,1219415.0
China,Asia,2020-05-24 03:35:11.007338226,36,1595141.0,39749.0,355159.0
Argentina,South America,2020-05-24 15:16:27.058038692,69,1959276.0,48345.0,1331624.0
Italy,Europe,2020-05-25 02:57:43.108739160,38,1082400.0,10306.0,189981.0
USA,North America,2020-05-25 14:38:59.159439626,59,1808429.0,,1035014.0
Mexico,North America,2020-05-26 02:20:15.210140092,41,1732611.0,28208.0,1105444.0
Spain,Europe,2020-05-26 14:01:31.260840560,59,1329637.0,,611753.0
China,Asia,2020-05-27 01:42:47.311541026,49,1101174.0,34531.0,1100898.0
UK,Europe,2020-05-27 13:24:03.362241494,48,775236.0,30868.0,137634.0
France,Europe,2020-05-28 01:05:19.412941960,28,,33109.0,1208654.0
Italy,Europe,2020-05-28 12:46:35.463642428,27,474310.0,25414.0,1398724.0
China,Asia,2020-05-29 00:27:51.514342894,39,193609.0,37822.0,383267.0
Saudi Arabia,Asia,2020-05-29 12:09:07.565043362,46,291731.0,-33213.0,1171241.0
France,Europe,2020-05-29 23:50:23.615743828,68,1293358.0,44453.0,230527.0
South Africa,Africa,2020-05-30 11:31:39.666444296,37,1704913.0,9319.0,1404874.0
UK,Europe,2020-05-30 23:12:55.717144762,71,1599872.0,14404.0,660451.0
South Africa,Africa,2020-05-31 10:54:11.767845230,48,348573.0,13762.0,347312.0
Japan,Asia,2020-05-31 22:35:27.818545696,38,109284.0,20785.0,222520.0
Germany,Europe,2020-06-01 10:16:43.869246164,30,-1571036.0,4415.0,314649.0
USA,North America,2020-06-01 21:57:59.919946630,25,1067815.0,10698.0,1085584.0
Italy,Europe,2020-06-02 09:39:15.970647098,57,1956309.0,37682.0,1610644.0
Japan,Asia,2020-06-02 21:20:32.021347564,23,1841475.0,6625.0,1755372.0
Canada,North America,2020-06-03 09:01:48.072048032,23,840954.0,33423.0,720564.0
Saudi Arabia,Asia,2020-06-03 20:43:04.122748498,31,478332.0,38896.0,829839.0
Australia,Oceania,2020-06-04 08:24:20.173448966,53,123786.0,2239.0,757396.0
Turkey,Asia,2020-06-04 20:05:36.224149432,64,1029934.0,9817.0,489105.0
UK,Europe,2020-06-05 07:46:52.274849900,54,222705.0,42708.0,987976.0
Mexico,North America,2020-06-05 19:28:08.325550366,71,1781828.0,13912.0,1604869.0
South Africa,Africa,2020-06-06 07:09:24.376250834,41,1459741.0,21101.0,1400680.0
Japan,Asia,2020-06-06 18:50:40.426951300,50,1692415.0,30650.0,1516442.0
Japan,Asia,2020-06-07 06:31:56.477651768,49,1023390.0,18166.0,725408.0
Indonesia,Asia,2020-06-07 18:13:12.528352234,71,1727051.0,15000.0,1768945.0
